Source,Target
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Lord Grey
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper","George III, King of the United Kingdom"
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Ebdon
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper","Leopold I, Grand Duke of Tuscany"
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper","Joseph II, Emperor"
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Plura
"Lord Goerge Nassau Clavering Cowper, 3rd Earl Cowper",Mrs Carder
Robert Strange,Isabella Lumisden
Robert Strange,Horace Mann
Robert Strange,Andrew Lumisden
Robert Strange,Marquis Gerini
Robert Strange,Lord Torrington
Robert Strange,Haughton James
Robert Strange,George Richardson
Robert Strange,Richard Dalton
Robert Strange,Cardinal Albani
Robert Strange,Prince Rezzonico
Robert Strange,Lord Royston (later 2nd Earl of Hardwicke)
Robert Strange,Prince Alicandre
Robert Strange,Abbé Grant
Robert Strange,"James II, King of England"
Robert Strange,Cardinal Philip Howard
Robert Strange,James Edgar
Robert Strange,M. du Tillot
Robert Strange,Bartolozzi
Robert Strange,"Henry Augustus, Duke of York"
Robert Strange,Cardinal York
Robert Strange,Sampieri
Robert Strange,"James Stuart, the Pretender"
Robert Strange,Walpole
Robert Strange,Lawrence Dundas
Robert Strange,Morice
Ignazio Hugford,Anton Domenico Gabbiani
Ignazio Hugford,Joshua Reynolds
Ignazio Hugford,William Young
Ignazio Hugford,Henry Blundell
Ignazio Hugford,James Martin
Ignazio Hugford,Gavin Hamilton
Ignazio Hugford,Cipriani
Ignazio Hugford,Bartolozzi
Ignazio Hugford,Don Enrico Hugford
Ignazio Hugford,Cosimo Hugford
Richard Dalton,"George, Prince of Wales"
Richard Dalton,Masucci
Richard Dalton,Lady Pomfret
Richard Dalton,Lord Brooke
Richard Dalton,Lady Hertford
Richard Dalton,Francesco Imperiali
Richard Dalton,Lord Lincoln
Richard Dalton,Sir Erasmus Philipps
Richard Dalton,Horace Mann
Richard Dalton,Clephane
Richard Dalton,Thomas Patch
Richard Dalton,Joseph Wilton
Richard Dalton,Simon Vierpyl
Richard Dalton,James Basire
Richard Dalton,Matthew Brettingham
Richard Dalton,Cardinal Albani
Richard Dalton,Robert Wood
Richard Dalton,Joshua Reynolds
Richard Dalton,Roger Kynaston
Richard Dalton,John Frederick
Richard Dalton,Lord Charlemont
Richard Dalton,Robert Adam
Richard Dalton,Lord Bute
Richard Dalton,Sir Richard Grosvenor
Richard Dalton,Maratti
Richard Dalton,William Kent
Richard Dalton,Charles Compton
Richard Dalton,Beccafumi
Richard Dalton,Jonathan Skelton
Richard Dalton,John Thomas Seton
Richard Dalton,Hamerani
Richard Dalton,Joseph Smith
Richard Dalton,Zanetti
Richard Dalton,James Stuart Mackenzie
Richard Dalton,Benjamin West
Richard Dalton,John Murray
Richard Dalton,Francesco Bartolozzi
Richard Dalton,James Adam
Richard Dalton,Oretti
Richard Dalton,Gaetano Gandolfi
Richard Dalton,Robert Crone
Richard Dalton,Mary de Heulle
Richard Dalton,Zoffany
Richard Dalton,Miss Robinson
Richard Dalton,George Robertson
Richard Dalton,Fr. John Thorpe
Richard Dalton,Lord Nuneham
Richard Dalton,Horace Walpole
Richard Dalton,Thomas Hollis
Richard Dalton,Sir James Lowther
Richard Dalton,Piranesi
Richard Dalton,"George III, King of the United Kingdom"
Richard Dalton,John Dalton
Richard Dalton,Cybo
Richard Dalton,"Frederick, Prince of Wales"
Richard Dalton,Stosch
Richard Dalton,Lady Orford
Richard Dalton,Baruffaldi
Richard Dalton,Spannocchi
Richard Dalton,Poussin
Richard Dalton,Mrs Esther de Heulle [Hull]
Richard Dalton,Knapton
Sir Richard Lyttleton,Thomas Pitt (later Lord Camelford)
Sir Richard Lyttleton,George Dance
Sir Richard Lyttleton,James Adam
Sir Richard Lyttleton,Batoni
Sir Richard Lyttleton,Robert Strange
Sir Richard Lyttleton,Lord Fordwich (later 3rd Earl Cowper)
Sir Richard Lyttleton,Duchess of Bridgewater
Joseph Wilcocks,"Clement XIII, Pope"
Joseph Wilcocks,Abbé Grant
Joseph Wilcocks,Cardinal Spinelli
Joseph Wilcocks,Thomas Wynn (later 1st Baron Newborough)
Joseph Wilcocks,Sir Henry Mainwaring
Joseph Wilcocks,James Grant
Joseph Wilcocks,Laurence Sterne
Joseph Wilcocks,Thomas Robinson (later 2nd Baron Grantham)
Joseph Wilcocks,Benjamin West
Joseph Wilcocks,James Martin
Joseph Wilcocks,Lord Tavistock
Joseph Wilcocks,Mr Crew
Henry Hoare,Richard Colt Hoare
Henry Hoare,Joseph Smith
Henry Hoare,Horace Mann
Henry Hoare,Maratti
Henry Hoare,Mengs
"Edward Augustus, Duke of York","George III, King of Great Britain"
"Edward Augustus, Duke of York",Horace Mann
"Edward Augustus, Duke of York",Cardinal Albani
"Edward Augustus, Duke of York","Clement XIII, Pope"
"Edward Augustus, Duke of York",Col. Henry St John
"Edward Augustus, Duke of York",Sir William Boothby
"Edward Augustus, Duke of York",James Holford
"Edward Augustus, Duke of York","Angela Serra, Madame Durazzo"
"Edward Augustus, Duke of York",George Pitt
"Edward Augustus, Duke of York",Madame Trana
"Edward Augustus, Duke of York",Count Belgioioso
"Edward Augustus, Duke of York",Countess Teresa Simonetta
"Edward Augustus, Duke of York","Francesco III d'Este, Duke of Modena"
"Edward Augustus, Duke of York",James Bruce
"Edward Augustus, Duke of York",Marshal Adorno Botta
"Edward Augustus, Duke of York",Lord Fordwich (later 3rd Earl Cowper)
"Edward Augustus, Duke of York",Porzia Sansedoni
"Edward Augustus, Duke of York",Francesco Barazza
"Edward Augustus, Duke of York",Winckelmann
"Edward Augustus, Duke of York",Batoni
"Edward Augustus, Duke of York",Nathaniel Dance
"Edward Augustus, Duke of York",Nollekens
"Edward Augustus, Duke of York",Thomas Patch
"Edward Augustus, Duke of York",Marchese Pallavicini
"Edward Augustus, Duke of York","Philip, Duke of Parma"
"Edward Augustus, Duke of York","Du Tillot, minister to the Duke of Parma"
"Edward Augustus, Duke of York",John Murray
"Edward Augustus, Duke of York",Udny
"Edward Augustus, Duke of York",Richard Brompton
"Edward Augustus, Duke of York",Madame de Brusasque
"Edward Augustus, Duke of York",Gibbon
"Edward Augustus, Duke of York",Horace Walpole
"Edward Augustus, Duke of York","Rodolfo Giulio Brignole Sale, Doge of Genoa"
"Edward Augustus, Duke of York","Charles Emmanuel III of Savoy, King of Sardinia"
"Edward Augustus, Duke of York",Abbate Giambattista Beccaria
"Edward Augustus, Duke of York","Joseph II, Archduke of Austria"
"Edward Augustus, Duke of York","Maria Theresa, Empress"
"Edward Augustus, Duke of York",Giovanni Manzuoli
"Edward Augustus, Duke of York",Marchesa Malaspina
"Edward Augustus, Duke of York","Alvise Giovanni Mocenigo , Doge of Venice"
"Edward Augustus, Duke of York",Marchesa Teresa Beccaria
"Edward Augustus, Duke of York",Piantaniola
"Edward Augustus, Duke of York",Marquess of Kildare
John Plimmer,Richard Wilson
John Plimmer,Henry Hoare
John Plimmer,Jonathan Skelton
John Plimmer,Robert Crone
John Plimmer,Southwell
John Plimmer,James Grant
John Plimmer,Lord Grey (later 5th Earl of Stamford)
James Adam,Robert Adam
James Adam,Gen. William Graeme
James Adam,George Richardson
James Adam,Domenico Cunego
James Adam,Santini
James Adam,Zucchi
James Adam,Clérisseau
James Adam,Zuccarelli
James Adam,Lady Mary Wortley Montagu
James Adam,Giuseppe Sacco
James Adam,Count Algarotti
James Adam,Ignazio Hugford
James Adam,Agostino Scara
James Adam,Piranesi
James Adam,Thomas Pitt
James Adam,Luigi Vanvitelli
James Adam,Cardinal Albani
James Adam,Countess Cheroffini
James Adam,James Martin
James Adam,James Gray
James Adam,Natoire
James Adam,Batoni
James Adam,Bartolozzi
James Adam,"John Ker, 3rd Duke of Roxburghe"
James Adam,"Sir Francis Haskins, 3rd Bt. Eyles-Styles"
James Adam,"George III, King of England"
James Adam,William Adam
William Weddell,Rev. William Palgrave
William Weddell,Horace Mann
William Weddell,Patch
William Weddell,James Martin
William Weddell,Cardinal Albani
William Weddell,Abbé Grant
William Weddell,James Grant
William Weddell,Signor Cassali
William Weddell,Thomas Robinson (later 2nd Baron Grantham)
William Weddell,Nathaniel Dance
William Weddell,J'Anson
William Weddell,Batoni
William Weddell,Sir William Farington
William Weddell,Edward Gibbon
William Weddell,Robert Adam
William Weddell,Piranesi
Joseph Nollekens,Hayward
Joseph Nollekens,Thomas Banks
Joseph Nollekens,James 'Athenian' Stuart
Joseph Nollekens,Gavin Hamilton
Joseph Nollekens,9th Earl of Exeter
Joseph Nollekens,"John Spencer, 1st Viscount Spencer"
Joseph Nollekens,Viscount Palmerston
Joseph Nollekens,David Garrick
Joseph Nollekens,James Martin
Joseph Nollekens,"Henry Augustus, Duke of York"
Joseph Nollekens,John Wodehouse
Joseph Nollekens,Laurence Sterne
Joseph Nollekens,5th Earl of Carlisle
Joseph Nollekens,J.B. Piranesi
Joseph Nollekens,Charles Pelham
Joseph Nollekens,"Sir Watkin Williams, 4th Bt. Wynn"
Joseph Nollekens,Charles Townley
Joseph Nollekens,Thomas Anson of Shugborough
Joseph Nollekens,William Weddell
Joseph Nollekens,James Hugh Smith Barry
Joseph Nollekens,Vincenzo Pacetti
Joseph Nollekens,Fr. John Thorpe
Joseph Nollekens,Lord Bessborough
Joseph Nollekens,Peter Scheemakers
Joseph Nollekens,Cavaceppi
Joseph Nollekens,Lord Holland
Joseph Nollekens,Barberini
Joseph Nollekens,"Catherine the Great, Empress of Russia"
Joseph Nollekens,Cardinal Albani
William Patoun,"Brownlow, 9th Earl of Exeter"
William Patoun,Benjamin West
William Patoun,Mr Chambers
William Patoun,James Martin
William Patoun,Garrick
William Patoun,Sir Gregory Turner
William Patoun,Richard Jodrell
William Patoun,Horace Mann
William Patoun,Colin Morison
William Patoun,William Drake
William Patoun,"Robert, 1st Baron Clive"
William Patoun,"George, 2nd Earl of Powis"
William Patoun,Fr. John Thorpe
William Patoun,Richard Cambridge
William Patoun,Daniel Wray
William Patoun,Lord Hardwicke
William Patoun,Nathaniel Dance
William Patoun,James Leigh
James Northcote,Joshua Reynolds
James Northcote,Hugh Barron
James Northcote,Jacob More
James Northcote,James Nevay
James Northcote,Antoine Lemoine
James Northcote,Thomas Banks
James Northcote,Prince Hoare
James Northcote,Mengs
James Northcote,Batoni
James Northcote,"Bencivenni Pelli, Director of the Uffizi"
James Northcote,Anna Storace
James Northcote,Alexander Day
James Northcote,Fuseli
James Northcote,Jacques-Louis David
"William Henry, Duke of Gloucester",Lady Waldegrave
"William Henry, Duke of Gloucester",Madame Grovestein
"William Henry, Duke of Gloucester",James Holford
"William Henry, Duke of Gloucester",Col. Charles Rainsford
"William Henry, Duke of Gloucester",Maj. Nathaniel Heywood
"William Henry, Duke of Gloucester",Lord Cholmondeley
"William Henry, Duke of Gloucester",Horace Mann
"William Henry, Duke of Gloucester",Vannini
"William Henry, Duke of Gloucester",Matthew William Peters
"William Henry, Duke of Gloucester",Francis Harwood
"William Henry, Duke of Gloucester",Lord Cowper
"William Henry, Duke of Gloucester",Lord Tylney
"William Henry, Duke of Gloucester",Thomas Patch
"William Henry, Duke of Gloucester","Maria Carolina, Queen of Naples"
"William Henry, Duke of Gloucester",Abbé Grant
"William Henry, Duke of Gloucester",Pompeo Batoni
"William Henry, Duke of Gloucester",Signor Pickler
"William Henry, Duke of Gloucester",Maron
"William Henry, Duke of Gloucester",Fyodor Orlov
"William Henry, Duke of Gloucester",John Dick
"William Henry, Duke of Gloucester",Giuseppe Rostagni
"William Henry, Duke of Gloucester",Cardinal Albani
"William Henry, Duke of Gloucester",John Strange
"William Henry, Duke of Gloucester",Edward Wortley Montagu
"William Henry, Duke of Gloucester",Prince William Frederick Gloucester
"William Henry, Duke of Gloucester",Rev. Salter
"William Henry, Duke of Gloucester",Prince Barberini
"William Henry, Duke of Gloucester",Prince Aldobrandini
"William Henry, Duke of Gloucester",Dr Robert Adair
"William Henry, Duke of Gloucester",Dr Richard Jebb
"William Henry, Duke of Gloucester",Princess Sophia Matilda Gloucester
"William Henry, Duke of Gloucester",Fr. John Thorpe
"William Henry, Duke of Gloucester",Thomas Banks
"William Henry, Duke of Gloucester",Carlo Labruzzi
"William Henry, Duke of Gloucester",Henry Blundell
"William Henry, Duke of Gloucester",Sir William Hamilton
"William Henry, Duke of Gloucester",Lady Almeria Carpenter
"William Henry, Duke of Gloucester","Edward Augustus, Duke of York"
"William Henry, Duke of Gloucester",Cardinal de Bernis
"William Henry, Duke of Gloucester",Giardini
"William Henry, Duke of Gloucester",Angelica Kauffman
"William Henry, Duke of Gloucester","George III, King of England"
"William Henry, Duke of Gloucester",Mr Dusign
"William Henry, Duke of Gloucester","Charles Stuart, the Young Pretender"
"William Henry, Duke of Gloucester",Mr Lee
"William Henry, Duke of Gloucester","Ferdinand IV, King of Naples"
"William Henry, Duke of Gloucester","Clement XIV, Pope"
"William Henry, Duke of Gloucester",Alexei Orlov
"William Henry, Duke of Gloucester",Vinelli
"William Henry, Duke of Gloucester",Pietro Danna
"William Henry, Duke of Gloucester",Hadfield
"William Henry, Duke of Gloucester","Leopold I, Grand Duke of Tuscany"
"William Henry, Duke of Gloucester",Humphry
"William Henry, Duke of Gloucester","Victor Amadeus III of Savoy, King of Sardinia"
"William Henry, Duke of Gloucester",Pio
"William Henry, Duke of Gloucester","Gruber, General of the Jesuits"
"William Henry, Duke of Gloucester",la Corilla Olimpica
"Henry Frederick, Duke of Cumberland",Lady Anne Luttrell
"Henry Frederick, Duke of Cumberland",Lady Elizabeth Luttrell
"Henry Frederick, Duke of Cumberland",James Luttrell
"Henry Frederick, Duke of Cumberland",Horace Mann
"Henry Frederick, Duke of Cumberland",Lady Mary Coke
"Henry Frederick, Duke of Cumberland",Pietro Verri
"Henry Frederick, Duke of Cumberland",Alberico Belgioioso
"Henry Frederick, Duke of Cumberland",Giovanni Battista Sammartini
"Henry Frederick, Duke of Cumberland",Contessa Castiglioni
"Henry Frederick, Duke of Cumberland",Cardinal de Bernis
"Henry Frederick, Duke of Cumberland",Fr. John Thorpe
"Henry Frederick, Duke of Cumberland",Marchesa Massimi
"Henry Frederick, Duke of Cumberland",Orlandi
"Henry Frederick, Duke of Cumberland",Hugh Barron
"Henry Frederick, Duke of Cumberland",Principe Aldobrandini
"Henry Frederick, Duke of Cumberland","Pius VI, Pope"
"Henry Frederick, Duke of Cumberland",Megit
"Henry Frederick, Duke of Cumberland","George III, King of the United Kingdom"
"Henry Frederick, Duke of Cumberland",Marchesa Litta
"Henry Frederick, Duke of Cumberland","Clement XIV, Pope"
"Henry Frederick, Duke of Cumberland",Prince of Wales
"Henry Frederick, Duke of Cumberland",Marchese Nunez
Fr. John Thorpe,"Henry Bellings, 8th Baron Arundell"
Fr. John Thorpe,Father Ignatius Rhomberg
Fr. John Thorpe,"Clement XIII, Pope"
Fr. John Thorpe,"Pius VI, Pope"
Fr. John Thorpe,James Byres
Fr. John Thorpe,Father Canonici
Fr. John Thorpe,Lady Arundell
Fr. John Thorpe,Mengs
Fr. John Thorpe,Batoni
Fr. John Thorpe,Maron
Fr. John Thorpe,William Miller
Fr. John Thorpe,Cardinal Pirelli
Fr. John Thorpe,Robillard
Fr. John Thorpe,Labruzzi
Fr. John Thorpe,Wickstead
Fr. John Thorpe,Quarenghi
Fr. John Thorpe,Giuseppe Cades
Fr. John Thorpe,9th Earl of Exeter
Fr. John Thorpe,Volaire
Fr. John Thorpe,Henry Blundell
Fr. John Thorpe,Thomas Weld
Fr. John Thorpe,Piranesi
Fr. John Thorpe,Canova
Fr. John Thorpe,Fr. James Connell
Fr. John Thorpe,Cardinal Rinnucini
Fr. John Thorpe,"Clement XIV, Pope"
Fr. John Thorpe,Fr. Gahagan
Fr. John Thorpe,Dean
Fr. John Thorpe,Antonio Vinelli
Charles Townley,Piranesi
Charles Townley,Algardi
Charles Townley,Pietro Pacilli
Charles Townley,Thomas Patch
Charles Townley,Byres
Charles Townley,Sir William Hamilton
Charles Townley,William Young
Charles Townley,John Brown
Charles Townley,Henry Blundell
Charles Townley,Zoffany
Charles Townley,Thomas Astle
Charles Townley,Hadfield
Charles Townley,"Clement XIV, Pope"
Charles Townley,Principe Laurenzano
Charles Townley,Baron d'Hancarville
"Thomas Noel (Hill), 2nd Baron Berwick",Edward Clarke
"Thomas Noel (Hill), 2nd Baron Berwick",Henry Tufton
"Thomas Noel (Hill), 2nd Baron Berwick",Grignion
"Thomas Noel (Hill), 2nd Baron Berwick",Angelica Kauffman
"Thomas Noel (Hill), 2nd Baron Berwick",Sir William 6th Bt. Forbes
"Thomas Noel (Hill), 2nd Baron Berwick",Lord Bruce
"Thomas Noel (Hill), 2nd Baron Berwick",Robert Parker
"Thomas Noel (Hill), 2nd Baron Berwick",Lady Plymouth
"Thomas Noel (Hill), 2nd Baron Berwick",Lady Webster
"Thomas Noel (Hill), 2nd Baron Berwick",Palmerston
"Thomas Noel (Hill), 2nd Baron Berwick",Leveson Vernon
"Thomas Noel (Hill), 2nd Baron Berwick",William Artaud
"Thomas Noel (Hill), 2nd Baron Berwick",Pacetti
"Thomas Noel (Hill), 2nd Baron Berwick",Fagan
"Thomas Noel (Hill), 2nd Baron Berwick",Philipp Hackert
"Thomas Noel (Hill), 2nd Baron Berwick",G.A. Wallis
"Thomas Noel (Hill), 2nd Baron Berwick","Henrietta Hill, Lady Bruce"
"Thomas Noel (Hill), 2nd Baron Berwick",Hewetson
Anna Maria Jenkins,Angelica Kauffman
Anna Maria Jenkins,Giovanni Martinez
James Hugh Smith Barry,Charles Townley
James Hugh Smith Barry,Thomas Dashwood
James Hugh Smith Barry,Dr Alexander Drummond
James Hugh Smith Barry,James Clark
James Hugh Smith Barry,Father Thorpe
James Hugh Smith Barry,Patrick Home
James Hugh Smith Barry,Horace Mann
James Hugh Smith Barry,"George Augustus Herbert, Lord Herbert"
James Hugh Smith Barry,Angelica Kauffman
James Hugh Smith Barry,Jacob More
James Hugh Smith Barry,Malibu
James Hugh Smith Barry,Fabris
James Hugh Smith Barry,Prince of Francavilla
Joshua Reynolds,Jonathan Richardson
Joshua Reynolds,Capt. Augustus Keppel
Joshua Reynolds,Lord Edgcumbe
Joshua Reynolds,Patch
Joshua Reynolds,Sir William Lowther
Joshua Reynolds,Joseph Wilton
Joshua Reynolds,Mrs William Chambers
Joshua Reynolds,Zuccarelli
Joshua Reynolds,Richard Wilson
Joshua Reynolds,Giuseppe Marchi
Joshua Reynolds,Simon Vierpyl
Joshua Reynolds,Sir David Wilkie
Joshua Reynolds,Mr Edgar
Joshua Reynolds,Nogari
Sir (Andrew) Corbet Corbet,Hester Salusbury
Sir (Andrew) Corbet Corbet,John Deare
Sir (Andrew) Corbet Corbet,Robert Fagan
Sir (Andrew) Corbet Corbet,Charles Grignion
Sir (Andrew) Corbet Corbet,George Wallis
Sir (Andrew) Corbet Corbet,Sir William 6th Bt. Forbes
Sir (Andrew) Corbet Corbet,Prince Augustus Frederick
Sir (Andrew) Corbet Corbet,Labruzzi
Robert Fagan,Mr Robinson
Robert Fagan,Prince Augustus Frederick
Robert Fagan,Edward Poore
Robert Fagan,Flaxman
Robert Fagan,Anna Maria Aloisia Rosa Ferri
Robert Fagan,Pietro Ferri
Robert Fagan,Cardinal Rezzonico
Robert Fagan,Estina Fagan
Robert Fagan,Maria Ludovica Francesca Geltrude Flanjani
Robert Fagan,Lady Clifford
Robert Fagan,George Wright
Robert Fagan,Lord Berwick
Robert Fagan,4th Earl of Bristol
Robert Fagan,Charles Grignion
Robert Fagan,Thomas Hope
Robert Fagan,Gavin Hamilton
Robert Fagan,"Sophia Cotton, Lady Mainwaring"
Robert Fagan,Herries
Robert Fagan,Emilia Fagan
Robert Fagan,George Fagan
Robert Fagan,Lady Augusta Murray
Robert Fagan,Lady Corbet
Robert Fagan,Altieri
Robert Fagan,Lady Acton
Prince Augustus Frederick,Lady Augusta Murray
Prince Augustus Frederick,Dr William Batt
Prince Augustus Frederick,Lord Bruce
Prince Augustus Frederick,John Trevor
Prince Augustus Frederick,Bodoni
Prince Augustus Frederick,Crescenti
Prince Augustus Frederick,Fontana
Prince Augustus Frederick,"Pius VI, Pope"
Prince Augustus Frederick,Jacob More
Prince Augustus Frederick,Lord Plymouth
Prince Augustus Frederick,Lord Malmesbury
Prince Augustus Frederick,Lady Malmesbury
Prince Augustus Frederick,Lady Anne Hatton
Prince Augustus Frederick,Sir William Hamilton
Prince Augustus Frederick,Lady Dunmore
Prince Augustus Frederick,Rev. William Gunn
Prince Augustus Frederick,Gauffier
Prince Augustus Frederick,Augustus Frederick d'Este
Prince Augustus Frederick,Reselli
Prince Augustus Frederick,Duke of Braschi
Prince Augustus Frederick,Angelica Kauffman
Prince Augustus Frederick,Peters
Prince Augustus Frederick,George Hadfield
Prince Augustus Frederick,James Durno
Prince Augustus Frederick,J.B.S. Morritt
Prince Augustus Frederick,Lady Knight
Prince Augustus Frederick,Lady Plymouth
Prince Augustus Frederick,Eugenia Wynne
Prince Augustus Frederick,Betsey Wynne
Prince Augustus Frederick,Thomas Fremantle
Prince Augustus Frederick,4th Earl of Bristol
Prince Augustus Frederick,Mr Livingston
Prince Augustus Frederick,"George III, King of England"
Prince Augustus Frederick,Ernest Augustus I of Hanover
Prince Augustus Frederick,"Adolphus, Duke of Sussex"
Prince Augustus Frederick,"Leopold I, Grand Duke of Tuscany"
Prince Augustus Frederick,Capt. F.W. von Linsingen
Prince Augustus Frederick,"George Augustus Frederick, Prince of Whales"
Prince Augustus Frederick,Cornelia Knight
Prince Augustus Frederick,Augusta Emma Lady Truro
Sir William 6th Bt. Forbes,Giannini
Sir William 6th Bt. Forbes,Martin Quadal
Sir William 6th Bt. Forbes,Patrick Moir
Sir William 6th Bt. Forbes,Abbé Waters
Sir William 6th Bt. Forbes,Gavin Hamilton
Sir William 6th Bt. Forbes,Jacob More
Sir William 6th Bt. Forbes,G.A. Wallis
Sir William 6th Bt. Forbes,James Clark
Sir William 6th Bt. Forbes,William Henry Duke of Gloucester
Sir William 6th Bt. Forbes,Baroness Berwick
Sir William 6th Bt. Forbes,Col. Pelham
Sir William 6th Bt. Forbes,Mr Robert Parker
Sir William 6th Bt. Forbes,Mrs Jones
Sir William 6th Bt. Forbes,Zucchi
Sir William 6th Bt. Forbes,Angelica Kauffman
Sir William 6th Bt. Forbes,Hugh Robinson
Sir William 6th Bt. Forbes,John Moir
Sir William 6th Bt. Forbes,James Byres
Sir William 6th Bt. Forbes,Lady Throckmorton
Sir William 6th Bt. Forbes,Madame Cicciaporci
Sir William 6th Bt. Forbes,Prince Augustus
Sir William 6th Bt. Forbes,Elizabeth Hay
Sir William 6th Bt. Forbes,James Irvine
Sir William 6th Bt. Forbes,Sir Corbet
Sir William 6th Bt. Forbes,"Charles Stuart, the Young Pretender"
Sir William 6th Bt. Forbes,Archibald Skirving
Sir William 6th Bt. Forbes,Hackert
Sir William 6th Bt. Forbes,Don Tito Lusieri
Sir William 6th Bt. Forbes,Tischbein
Sir William 6th Bt. Forbes,Rollin
Sir William 6th Bt. Forbes,Mr Jones
Sir William 6th Bt. Forbes,Duchess of Ancaster
Sir William 6th Bt. Forbes,Canova
Sir William 6th Bt. Forbes,Hewetson
Sir William 6th Bt. Forbes,Princess Borghese
Sir William 6th Bt. Forbes,Princess Santa Croce
Sir William 6th Bt. Forbes,Sir Legard
Sir William 6th Bt. Forbes,MacGowan
Sir William 6th Bt. Forbes,"Sir William, 7th Bt. Forbes"
Sir William 6th Bt. Forbes,"Daughter of Sir William, 6th Bt. Forbes"
Sir William 6th Bt. Forbes,Mrs Robert Parker
Sir William 6th Bt. Forbes,Henrietta Maria Hill
Sir William 6th Bt. Forbes,Anne Hill
Sir William 6th Bt. Forbes,Emily Hill
Sir William 6th Bt. Forbes,Lady Corbet
Sir William 6th Bt. Forbes,Lady Legard
Sir William 6th Bt. Forbes,Margarita
Elizabeth Davers,Boswell
Elizabeth Davers,Sir William Hamilton
Elizabeth Davers,Horace Mann
Elizabeth Davers,Banks
Elizabeth Davers,Tischbein
Elizabeth Davers,Anton Maron
Elizabeth Davers,"John Augustus Hervey, Lord Hervey"
Elizabeth Davers,Louisa Theodosia Hervey
Elizabeth Davers,Cardinal de Bernis
Elizabeth Davers,Frederick William Hervey
Elizabeth Davers,"Frederick Augustus Hervey, 4th Earl of Bristol"
Elizabeth Davers,Bitio
"Elizabeth (Hervey), Lady Foster",Edward Gibbon
"Elizabeth (Hervey), Lady Foster",Count Axel Fersen
"Elizabeth (Hervey), Lady Foster","Georgiana, Duchess of Devonshire"
"Elizabeth (Hervey), Lady Foster",Charlotte William
"Elizabeth (Hervey), Lady Foster",Dr Tissot
"Elizabeth (Hervey), Lady Foster",Cardinal de Bernis
"Elizabeth (Hervey), Lady Foster",Jonas Brooke
"Elizabeth (Hervey), Lady Foster",Duke of Devonshire
"Elizabeth (Hervey), Lady Foster",Lord John Augustus Hervey
"Elizabeth (Hervey), Lady Foster",Louis
"Elizabeth (Hervey), Lady Foster",Angelica Kauffman
"Elizabeth (Hervey), Lady Foster",Anne Damer
"Elizabeth (Hervey), Lady Foster",William Clifford (later Sir Augustus Clifford)
"Elizabeth (Hervey), Lady Foster",John Foster of Dunleer
"Elizabeth (Hervey), Lady Foster","Pius VI, Pope"
"Elizabeth (Hervey), Lady Foster","Marie Antoinette, Queen of France"
"Elizabeth (Hervey), Lady Foster","Girolamo Zulian, Venetian ambassador to Rome"
"Elizabeth (Hervey), Lady Foster","Gustav III, King of Sweden"
"Elizabeth (Hervey), Lady Foster",Berry
"Elizabeth (Hervey), Lady Foster",Lady Hervey
"Elizabeth (Hervey), Lady Foster",Caroline St Jules
"Elizabeth (Hervey), Lady Foster","Frederick Augustus Hervey, 4th Earl of Bristol"
"George Augustus Herbert, Lord Herbert",Rev. William Coxe
"George Augustus Herbert, Lord Herbert",John Floyd
"George Augustus Herbert, Lord Herbert",Lady Pembroke
"George Augustus Herbert, Lord Herbert",Guardi
"George Augustus Herbert, Lord Herbert",Sir William Hamilton
"George Augustus Herbert, Lord Herbert",Lord Tylney
"George Augustus Herbert, Lord Herbert",Lord Maynard
"George Augustus Herbert, Lord Herbert",Abbé Grant
"George Augustus Herbert, Lord Herbert",Hippisley
"George Augustus Herbert, Lord Herbert",Hewetson
"George Augustus Herbert, Lord Herbert",Jacob More
"George Augustus Herbert, Lord Herbert",Delane
"George Augustus Herbert, Lord Herbert",Durno
"George Augustus Herbert, Lord Herbert",Thomas Jones
"George Augustus Herbert, Lord Herbert",Batoni
"George Augustus Herbert, Lord Herbert",Mann
"George Augustus Herbert, Lord Herbert",Lady Cowper
"George Augustus Herbert, Lord Herbert",Lord Mountstuart
"George Augustus Herbert, Lord Herbert","Henry Herbert, 10th Earl of Pembroke"
"George Augustus Herbert, Lord Herbert",Maj. Seigneux
"George Augustus Herbert, Lord Herbert",Raphaeli
"George Augustus Herbert, Lord Herbert",Margherita
"George Augustus Herbert, Lord Herbert","Frederick II, King of Prussia"
"George Augustus Herbert, Lord Herbert",Tresham
Jonathan Skelton,William Herring
Jonathan Skelton,Joseph Vernet
Jonathan Skelton,"John, Lord Brudenell"
Jonathan Skelton,Nathaniel Dance
Jonathan Skelton,Peter Stephens
Jonathan Skelton,George James
Jonathan Skelton,George Lambert
Jonathan Skelton,Sir Wyndham Knatchbull-Wyndham
Jonathan Skelton,Dr Hay
Jonathan Skelton,"Thomas Herring, Archbishop of Canterbury"
Jonathan Skelton,Henry Lyte
James 'Athenian' Stuart,Lewis Goupy
James 'Athenian' Stuart,Matthew Nulty
James 'Athenian' Stuart,Nicholas Revett
